"name","ratings","unweighted"
"Harry Potter and the Deathly Hallows: Part 2",8.1,8.2
"Bacheha-Ye Aseman",8.2,8.2
"Blade Runner",8.1,8.1
"12 Years a Slave",8.1,8.1
"Before Sunrise",8.1,8.1
"The Gold Rush",8.1,8
"The Grand Budapest Hotel",8.1,8.1
"Ben-Hur",8.1,8
"Gone Girl",8.1,8.1
"Barry Lyndon",8.1,8
"On the Waterfront",8.1,8
"Hacksaw Ridge",8.1,8.2
"In the Name of the Father",8.1,8.1
"The General",8.1,7.9
"The Deer Hunter",8.1,8.1
"Salinui Chueok",8.1,8.1
"Smultronstället",8.1,8
"Le Salaire De La Peur",8.2,7.8
"The Third Man",8.1,8
"Relatos Salvajes",8.1,8.1
"Sherlock Jr.",8.2,7.9
"Mad Max: Fury Road",8.1,8
"Dead Poets Society",8.1,8.2
"Mr. Smith Goes to Washington",8.1,8
"Monsters, Inc.",8.1,8.1
"How to Train Your Dragon",8.1,8.2
"Mary and Max",8.1,8.1
NA,8.1,8
"Det Sjunde Inseglet",8.1,8
"Room",8.1,8.1
"The Big Lebowski",8.1,8.1
"Ford v. Ferrari",8.1,8.2
"Tokyo Story",8.1,7.9
"Ratatouille",8.1,8.1
"Rocky",8.1,8.1
"Hotel Rwanda",8.1,8.1
"La passion de Jeanne d'Arc",8.1,7.8
"Logan",8.1,8.2
"Platoon",8.1,8
"Spotlight",8.1,8.1
"The Terminator",8.1,8
"Jai Bhim",8.8,9.2
"Before Sunset",8.1,8
"Rush",8.1,8.1
"Network",8.1,8
"Stand by Me",8.1,8.1
"The Best Years of Our Lives",8.1,7.9
"La haine",8.1,8.1
"The Wizard of Oz",8.1,8
"Into the Wild",8.1,8.1
"The Exorcist",8.1,8
"Pirates of the Caribbean: The Curse of the Black Pearl",8.1,8.1
"The Incredibles",8,8
"To Be or Not to Be",8.2,7.9
"The Grapes of Wrath",8.1,7.9
"Groundhog Day",8,8
"Hachi: A Dog's Tale",8.1,8.2
"La battaglia di Algeri",8.1,7.8
"Babam Ve Oglum",8.2,8.3
"Ah-ga-ssi",8.1,8.1
"Amores perros",8.1,8
"Rebecca",8.1,8
